,q_date,q_year,prop_year,state,entity,utility,county_1,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,Join_Count,Join_Count_1,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,name,power,substation,type,Lat,Long,POP_SQMI,LEGAL_NAME,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,avg_wind_speed_meters_per_second,tokens.1
67,4/29/2019,2019.0,2023.0,IA,MISO,MidAmerican Energy Company,story,0,0,0,1,0,0,0,0,0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,40227,1,40227,O'Brien County Substation,substation,transmission,multipolygon,43.20782781,-95.58168815,56.7,O'Brien County,279.0,858.0,1162.0,4.3,-49.8,4.0,4.1941185,o'brien
68,7/23/2020,2020.0,2023.0,IA,MISO,ITC Midwest,osceola,0,0,0,1,0,0,0,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,35789,1,35789,Dickinson County Substation,substation,transmission,multipolygon,43.4313387,-95.24047319,56.7,Dickinson County,217.0,493.0,713.0,4.6,-38.7,3.9,4.0592065,dickinson
69,11/16/2015,2015.0,2016.0,IA,MISO,MidAmerican Energy Company,cass,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,29543,1,29543,Red Lion Substation,substation,distribution,multipolygon,42.44381599,-92.3671607,56.7,Black Hawk County,636.0,644.0,1297.0,133.1,-0.6,3.9,4.1051898,red
70,4/29/2019,2019.0,2022.0,IA,MISO,ITC Midwest,benton,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,4549,1,4549,Duane Arnold Substation,substation,generation,multipolygon,42.10001394,-91.78122862,56.7,Linn County,397.0,573.0,998.0,14.9,-17.6,3.9,3.3417344,duane
71,7/21/2020,2020.0,2023.0,IA,MISO,ITC Midwest,story,0,0,0,1,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1328,1,1328,Story County Substation,substation,transmission,multipolygon,42.085811,-93.27177265,56.7,Story County,24.0,85.0,113.0,1.2,-54.0,4.0,4.5208454,story
72,1/29/2008,2008.0,2012.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4559,1,4559,Mitchell County Substation,substation,transmission,multipolygon,43.48155493,-92.61210435,56.7,Mitchell County,299.0,592.0,901.0,2.0,-32.5,3.8,4.3205848,mitchell
73,5/25/2006,2006.0,2007.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,50108,1,50108,Osage Junction Substation,substation,transmission,multipolygon,43.3489096,-92.82977931,56.7,Mitchell County,418.0,768.0,1207.0,6.9,-29.0,3.8,4.1975918,osage
74,5/15/2015,2015.0,2017.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,18041,1,18041,New Departure Substation,substation,industrial,multipolygon,43.14830085,-93.8701753,56.7,Hancock County,354.0,1034.0,1410.0,4.9,-48.2,3.9,3.6836627,new
75,9/2/2010,2010.0,2012.0,IA,MISO,MidAmerican Energy Company,dallas,0,0,0,1,0,0,0,0,0,270.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,9616,1,9616,Grimes Substation,substation,generation,multipolygon,41.66008487,-93.81196356,56.7,Polk County,1437.0,1449.0,2964.0,172.9,-0.4,4.0,3.9292428,grimes
76,10/13/2022,2022.0,2027.0,IA,MISO,MidAmerican Energy Company,franklin,0,0,0,1,0,0,0,0,0,160.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1331,1,1331,Franklin Substation,substation,transmission,multipolygon,42.55828625,-93.29104015,56.7,Franklin County,109.0,244.0,356.0,1.3,-37.9,3.9,4.2161565,franklin
77,12/9/2022,2022.0,2026.0,IA,MISO,MidAmerican Energy Company,pocahontas,0,0,0,1,0,0,0,0,0,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,2499,1,2499,Sac County Substation,substation,transmission,multipolygon,42.55476084,-95.26884326,56.7,Sac County,180.0,458.0,650.0,2.3,-42.8,4.0,3.987129,sac
78,10/7/2022,2022.0,2027.0,IA,MISO,ITC Midwest,cerro gordo,0,0,0,1,0,0,0,0,0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,39948,1,39948,Colby Substation,substation,transmission,multipolygon,43.25408717,-93.29164887,56.7,Cerro Gordo County,88.0,220.0,311.0,2.0,-42.4,3.9,4.1390877,colby
79,2/16/2010,2010.0,2013.0,IA,MISO,Madison Gas and Electric Company,hancock,0,0,0,1,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4795,1,4795,West Nashville Substation,substation,transmission,multipolygon,41.96617686,-95.40735076,56.7,Crawford County,421.0,557.0,989.0,12.1,-13.8,4.1,3.6280837,west
80,10/20/2022,2022.0,2026.0,IA,MISO,MidAmerican Energy Company,pottawattamie,0,0,0,1,0,0,0,0,0,300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,43050,1,43050,Overland Trail Substation,substation,transmission,multipolygon,41.19829851,-95.79774953,56.7,Pottawattamie County,560.0,1096.0,1673.0,23.4,-32.0,4.1,3.8076816,overland
81,10/13/2022,2022.0,2027.0,IA,MISO,ITC Midwest,clinton,0,0,0,1,0,0,0,0,0,160.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1429,1,1429,Beaver Channel Substation,substation,transmission,multipolygon,41.81021549,-90.23436972,56.7,Clinton County,582.0,726.0,1337.0,73.6,-10.8,3.9,3.3848674,beaver
82,9/16/2022,2022.0,2030.0,IA,MISO,Cedar Falls Utilities,webster,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,9647,1,9647,Webster Substation,substation,transmission,multipolygon,42.56626556,-94.09210119,56.7,Webster County,253.0,503.0,767.0,7.3,-32.6,4.0,3.8539557,webster
83,12/22/2005,2005.0,2014.0,IA,MISO,MidAmerican Energy Company,crawford,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,42466,1,42466,Monona Substation,substation,transmission,multipolygon,42.20968399,-95.76761882,56.7,Monona County,256.0,584.0,856.0,4.6,-38.3,4.0,3.9268794,monona
84,6/29/2020,2020.0,2024.0,IA,MISO,ITC Midwest,worth,0,0,0,1,0,0,0,0,0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,39950,1,39950,Ledyard Substation,substation,transmission,multipolygon,43.43107326,-94.1045399,56.7,Kossuth County,111.0,370.0,489.0,1.5,-53.0,3.9,4.4664631,ledyard
85,3/12/2018,2018.0,2021.0,IA,MISO,ITC Midwest,chickasaw,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4552,1,4552,Hazleton Substation,substation,transmission,multipolygon,42.58592822,-91.90181713,56.7,Buchanan County,186.0,333.0,531.0,5.9,-27.7,3.9,3.7159626,hazleton
86,11/14/2016,2016.0,2019.0,IA,MISO,ITC Midwest,story,0,0,0,1,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1328,1,1328,Story County Substation,substation,transmission,multipolygon,42.085811,-93.27177265,56.7,Story County,24.0,85.0,113.0,1.2,-54.0,4.0,4.5208454,story
87,4/26/2010,2010.0,2011.0,IA,MISO,"Ewington Energy Systems, LLC",hancock,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,17986,1,17986,Hancock Substation,substation,transmission,multipolygon,43.07486798,-93.60585137,56.7,Hancock County,118.0,398.0,527.0,2.8,-53.1,3.9,4.2280307,hancock
88,9/29/2022,2022.0,2025.0,IA,MISO,ITC Midwest,greene,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,35672,1,35672,Karma Substation,substation,transmission,multipolygon,42.00636995,-94.23849372,56.7,Greene County,235.0,504.0,751.0,2.7,-35.8,4.0,4.4289112,karma
89,3/11/2009,2009.0,2008.0,IA,MISO,ITC Midwest,howard,0,0,0,1,0,0,0,0,0,198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,17872,1,17872,Adams Ridge Substation,substation,distribution,multipolygon,42.52287194,-93.12454762,56.7,Hardin County,387.0,850.0,1255.0,6.9,-36.9,3.9,4.2381554,adams
90,1/29/2008,2008.0,2012.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4559,1,4559,Mitchell County Substation,substation,transmission,multipolygon,43.48155493,-92.61210435,56.7,Mitchell County,299.0,592.0,901.0,2.0,-32.5,3.8,4.3205848,mitchell
91,6/6/2008,2008.0,2011.0,IA,MISO,ITC Midwest,tama,0,0,0,1,0,0,0,0,0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,22639,1,22639,Toledo Transmission Substation,substation,distribution,multipolygon,42.03641106,-92.5613312,56.7,Tama County,127.0,243.0,374.0,2.6,-31.0,3.9,3.8236835,toledo
92,4/29/2019,2019.0,2023.0,IA,MISO,ITC Midwest,union,0,0,0,1,0,0,0,0,0,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,18897,1,18897,Creston Substation,substation,distribution,multipolygon,41.05764721,-94.359596,56.7,Union County,266.0,472.0,754.0,8.2,-27.3,4.1,4.1222744,creston
93,1/29/2008,2008.0,2010.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4559,1,4559,Mitchell County Substation,substation,transmission,multipolygon,43.48155493,-92.61210435,56.7,Mitchell County,299.0,592.0,901.0,2.0,-32.5,3.8,4.3205848,mitchell
94,4/29/2019,2019.0,2022.0,IA,MISO,ITC Midwest,buchanan,0,0,0,1,0,0,0,0,0,398.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,4552,1,4552,Hazleton Substation,substation,transmission,multipolygon,42.58592822,-91.90181713,56.7,Buchanan County,186.0,333.0,531.0,5.9,-27.7,3.9,3.7159626,hazleton
95,11/14/2016,2016.0,2019.0,IA,MISO,ITC Midwest,franklin,0,0,0,1,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2489,1,2489,Whispering Willows Substation,substation,transmission,multipolygon,42.6287149,-93.23285545,56.7,Franklin County,75.0,254.0,330.0,1.8,-54.2,3.9,4.4146528,whispering
96,10/10/2022,2022.0,2027.0,IA,MISO,ITC Midwest,worth,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,39950,1,39950,Ledyard Substation,substation,transmission,multipolygon,43.43107326,-94.1045399,56.7,Kossuth County,111.0,370.0,489.0,1.5,-53.0,3.9,4.4664631,ledyard
97,10/20/2022,2022.0,2027.0,IA,MISO,"Duke Energy Indiana, LLC",mills,0,0,0,1,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,21159,1,21159,Hastings Substation,substation,distribution,multipolygon,40.99361633,-95.5002071,56.7,Mills County,95.0,351.0,455.0,3.5,-56.3,4.1,4.0566497,hastings
98,3/12/2018,2018.0,2021.0,IA,MISO,ITC Midwest,union,0,0,0,1,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,18897,1,18897,Creston Substation,substation,distribution,multipolygon,41.05764721,-94.359596,56.7,Union County,266.0,472.0,754.0,8.2,-27.3,4.1,4.1222744,creston
99,10/6/2022,2022.0,2030.0,IA,MISO,MidAmerican Energy Company,pocahontas,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,9647,1,9647,Webster Substation,substation,transmission,multipolygon,42.56626556,-94.09210119,56.7,Webster County,253.0,503.0,767.0,7.3,-32.6,4.0,3.8539557,webster
100,3/12/2018,2018.0,2021.0,IA,MISO,ITC Midwest,worth,0,0,0,1,0,0,0,0,0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,39950,1,39950,Ledyard Substation,substation,transmission,multipolygon,43.43107326,-94.1045399,56.7,Kossuth County,111.0,370.0,489.0,1.5,-53.0,3.9,4.4664631,ledyard
101,1/29/2008,2008.0,2010.0,IA,MISO,ITC Midwest,mitchell,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4559,1,4559,Mitchell County Substation,substation,transmission,multipolygon,43.48155493,-92.61210435,56.7,Mitchell County,299.0,592.0,901.0,2.0,-32.5,3.8,4.3205848,mitchell
102,10/14/2022,2022.0,2027.0,IA,MISO,Midamerican Energy Company,polk,0,0,0,1,0,0,0,0,0,170.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6894,1,6894,SE Polk Substation,substation,transmission,multipolygon,41.54172707,-93.52721404,56.7,Polk County,803.0,418.0,1251.0,133.6,30.8,4.0,3.4071972,se
103,12/13/2006,2006.0,2009.0,IA,MISO,ITC Midwest,wapello,0,0,0,1,0,0,0,0,0,900.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4547,1,4547,Ottumwa Generation Station,substation,generation,multipolygon,41.09278579,-92.55399974,56.7,Wapello County,22.0,88.0,113.0,4.0,-58.4,4.0,3.343981,ottumwa
104,6/16/2017,2017.0,2019.0,IA,MISO,MidAmerican Energy Company,crawford,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,42435,1,42435,Victory Substation,substation,generation,multipolygon,42.11473153,-95.13094837,56.7,Crawford County,210.0,652.0,872.0,2.3,-50.7,4.0,4.2036195,victory
105,9/16/2022,2022.0,2030.0,IA,MISO,MidAmerican Energy Company,page,0,0,0,1,0,0,0,0,0,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,9617,1,9617,Madison County Switching Station,substation,transmission,multipolygon,41.33624682,-93.90864658,56.7,Madison County,434.0,988.0,1450.0,5.4,-38.2,4.0,3.8941522,madison
106,4/29/2019,2019.0,2022.0,IA,MISO,ITC Midwest,linn,0,0,0,1,0,0,0,0,0,95.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,49805,1,49805,Oakridge Substation,substation,industrial,multipolygon,41.93039862,-91.64640985,56.7,Linn County,884.0,785.0,1698.0,48.2,5.8,3.9,3.7058091,oakridge
107,4/29/2019,2019.0,2023.0,IA,MISO,ITC Midwest,linn,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,4549,1,4549,Duane Arnold Substation,substation,generation,multipolygon,42.10001394,-91.78122862,56.7,Linn County,397.0,573.0,998.0,14.9,-17.6,3.9,3.3417344,duane
109,7/21/2020,2020.0,2023.0,IA,MISO,ITC Midwest,hancock,0,0,0,1,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,40828,1,40828,Lime Creek Substation,substation,transmission,multipolygon,43.2480897,-93.20394441,56.7,Cerro Gordo County,124.0,200.0,329.0,3.6,-23.1,3.9,4.3215199,lime
110,4/8/2009,2009.0,2010.0,IA,MISO,MidAmerican Energy Company,sac,0,0,0,1,0,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2498,1,2498,Clipper Substation,substation,generation,multipolygon,42.55341256,-95.32736249,56.7,Sac County,180.0,458.0,650.0,2.3,-42.8,4.0,4.1038165,clipper
111,3/30/2009,2009.0,2010.0,IA,MISO,MidAmerican Energy Company,carroll,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,42435,1,42435,Victory Substation,substation,generation,multipolygon,42.11473153,-95.13094837,56.7,Crawford County,210.0,652.0,872.0,2.3,-50.7,4.0,4.2036195,victory
112,10/6/2022,2022.0,2025.0,IA,MISO,ITC Midwest,henry,0,0,0,1,0,0,0,0,0,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,9825,1,9825,Denmark Substation,substation,transmission,multipolygon,40.78384234,-91.35207594,56.7,Lee County,579.0,1107.0,1718.0,7.2,-30.7,4.0,3.5266416,denmark
113,7/22/2020,2020.0,2023.0,IA,MISO,ITC Midwest,hancock,0,0,0,1,0,0,0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,25612,1,25612,Burt Switching Station,substation,transmission,multipolygon,43.16994951,-94.15864911,56.7,Kossuth County,135.0,380.0,526.0,2.9,-46.6,3.9,4.1881852,burt
114,6/16/2017,2017.0,2021.0,IA,MISO,MidAmerican Energy Company,humboldt,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,36370,1,36370,Kossuth Substation,substation,transmission,multipolygon,43.17010378,-94.15656708,56.7,Kossuth County,135.0,380.0,526.0,2.9,-46.6,3.9,4.1881852,kossuth
115,4/29/2019,2019.0,2022.0,IA,MISO,ITC Midwest,worth,0,0,0,1,0,0,0,0,0,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,32384,1,32384,Worth County Substation,substation,transmission,multipolygon,43.35625655,-93.29090411,56.7,Worth County,142.0,275.0,420.0,2.2,-31.7,3.9,4.5930033,worth
116,10/12/2022,2022.0,2026.0,IA,MISO,ITC Midwest,cerro gordo,0,0,0,1,0,0,0,0,0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,40066,1,40066,Killdeer Substation,substation,transmission,multipolygon,43.09991883,-93.29319881,56.7,Cerro Gordo County,88.0,220.0,311.0,2.0,-42.4,3.9,4.3315969,killdeer
117,11/14/2016,2016.0,2019.0,IA,MISO,ITC Midwest,hancock,0,0,0,1,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,40828,1,40828,Lime Creek Substation,substation,transmission,multipolygon,43.2480897,-93.20394441,56.7,Cerro Gordo County,124.0,200.0,329.0,3.6,-23.1,3.9,4.3215199,lime
